recency_days,frequency_monthly,monetary_monthly,n_services,ovo_points_balance,tier_encoded,RFM_score,freq_trend,spend_trend,promo_sensitivity,points_to_expiry,churn_label,churn_prob_xgb,segment_rfm,tier,user_id
63,2,347000.0,1,3199,2,6,-0.5079977155840145,-33750.83493730964,0.3477521126942222,302,0,0.5198139,Hibernating,Silver,USR004098
11,12,327000.0,3,3031,2,11,12.762258590557952,1306.0987127657413,0.21024383082864198,354,0,0.22754282,Champions,Silver,USR002542
18,4,206000.0,1,2397,2,7,-4.192700488248479,569.7800121654373,0.025093929400120583,347,0,0.24716215,Promising,Silver,USR006910
9,29,2031000.0,3,19449,4,12,-1.0235834425817356,164.5746177387359,0.59187578648758,356,0,0.010671368,Champions,Platinum,USR000876
11,10,336000.0,2,3376,2,10,10.395748717986478,-625.1126178710412,0.15782924243356056,354,0,0.14684735,Champions,Silver,USR002760
9,14,754000.0,1,8214,3,12,-14.456402243300598,-77131.80369892594,0.47151418570417447,356,0,0.36987248,Champions,Gold,USR002677
18,9,306000.0,1,2608,2,9,-0.266418134389962,-1001.8147955623887,0.19903063551897773,347,0,0.20111585,Loyal,Silver,USR002302
229,0,13000.0,1,126,1,3,0.2144055902165028,2075.2730116603034,0.3600189602685689,136,1,0.9093414,Hibernating,Member,USR009724
15,7,145000.0,3,1169,1,8,7.421975700259465,28.348207458837393,0.38375042157506767,350,0,0.43659022,Loyal,Member,USR007922
89,5,324000.0,3,3528,2,6,-0.4311534680818405,-326.14564729774344,0.21615202758670887,276,0,0.6613013,Hibernating,Silver,USR005366
9,29,2355000.0,4,26410,4,12,0.5843613971156183,496.9857196237791,0.4833934976521091,356,0,0.062727325,Champions,Platinum,USR001423
14,3,171000.0,3,1446,1,7,-0.29156141566214905,16278.087223582104,0.12293293070996955,351,0,0.41701332,Promising,Member,USR006835
86,4,258000.0,1,2889,2,6,4.588604393708457,-788.8815353355542,0.6578018088829168,279,0,0.42190734,Hibernating,Silver,USR005022
362,0,74000.0,3,672,1,3,1.172026889416313,-9927.165604016593,0.29306479048149414,3,0,0.92863894,Hibernating,Member,USR008541
15,12,769000.0,2,8937,3,11,0.13991079797213857,78316.67484072392,0.08538893417059115,350,0,0.059755344,Loyal,Gold,USR003074
25,10,406000.0,1,3503,2,8,10.336378393599711,329.7862262602962,0.20585613598525357,340,1,0.19054358,At_Risk,Silver,USR002996
19,5,85000.0,3,838,1,6,-4.51475577019331,-436.06931804636434,0.10055495079071973,346,0,0.45570052,Promising,Member,USR006669
330,0,53000.0,1,619,1,3,-0.02504029942823332,-3709.217348956642,0.5952340586308466,35,1,0.8794663,Hibernating,Member,USR009470
