user_id,recency_days,frequency_monthly,monetary_monthly,n_services,tier,city,churn_label,segment_true,R,F,M,E,RFM_score,RFME_score,segment_rfm,ovo_points_balance,cluster_kmeans,services_used,monetary_monthly_raw
USR006252,16,5,169000.0,1,Member,Jakarta,0,Promising,3,2,2,1,7,8,Promising,1620,0,GrabExpress,169000.0
USR004684,75,4,186000.0,4,Member,Jakarta,0,At_Risk,2,2,2,4,6,10,Hibernating,2099,4,GrabCar|GrabExpress|GrabFood|GrabBike,186000.0
USR001731,13,9,784000.0,3,Gold,Jakarta,0,Loyal,3,3,4,3,10,13,Loyal,8384,4,GrabExpress|GrabCar|GrabFood,784000.0
USR004742,85,4,318000.0,1,Silver,Surabaya,0,At_Risk,1,2,3,1,6,7,Hibernating,3439,0,GrabBike,318000.0
USR004521,60,4,178000.0,4,Member,Surabaya,0,At_Risk,2,2,2,4,6,10,Hibernating,1690,4,GrabFood|GrabMart|GrabExpress|GrabBike,178000.0
USR006340,8,4,249000.0,1,Silver,Medan,1,Promising,4,2,3,1,9,10,Promising,2741,0,GrabCar,249000.0
USR000576,5,26,1750000.0,4,Platinum,Surabaya,0,Champions,4,4,4,4,12,16,Champions,16605,1,GrabBike|GrabMart|GrabExpress|GrabFood,1750000.0
USR005202,68,5,175000.0,1,Member,Jakarta,1,At_Risk,2,2,2,1,6,7,Hibernating,1771,0,GrabFood,175000.0
USR006363,12,4,136000.0,2,Member,Jakarta,0,Promising,3,2,2,2,7,9,Promising,1386,0,GrabBike|GrabFood,136000.0
USR000439,10,16,934000.0,2,Gold,Bekasi,0,Champions,4,4,4,2,12,14,Champions,10225,2,GrabCar|GrabMart,934000.0
USR002750,26,10,424000.0,1,Silver,Bekasi,0,Loyal,2,3,3,1,8,9,At_Risk,3665,2,GrabMart,424000.0
USR007487,3,5,240000.0,2,Silver,Jakarta,1,Promising,4,2,2,2,8,10,Promising,2438,0,GrabBike|GrabExpress,240000.0
USR005272,46,3,316000.0,2,Silver,Jakarta,1,At_Risk,2,2,3,2,7,9,Hibernating,3497,0,GrabExpress|GrabCar,316000.0
USR005653,53,3,311000.0,2,Silver,Jakarta,1,At_Risk,2,2,3,2,7,9,Hibernating,2558,0,GrabExpress|GrabMart,311000.0
USR003999,11,12,320000.0,2,Silver,Bandung,0,Loyal,4,3,3,2,10,12,Champions,2913,2,GrabExpress|GrabCar,320000.0
USR006033,13,5,235000.0,1,Silver,Bandung,1,Promising,3,2,2,1,7,8,Promising,2677,0,GrabExpress,235000.0
USR000582,4,17,1964000.0,3,Platinum,Medan,0,Champions,4,4,4,3,12,15,Champions,20183,1,GrabBike|GrabFood|GrabMart,1964000.0
USR009930,137,0,21000.0,2,Member,Surabaya,1,Hibernating,1,1,1,2,3,5,Hibernating,223,0,GrabFood|GrabCar,21000.0
USR007051,20,6,145000.0,1,Member,Bandung,0,Promising,3,3,2,1,8,9,Loyal,1368,0,GrabFood,145000.0
USR008158,112,0,5000.0,2,Member,Jakarta,1,Hibernating,1,1,1,2,3,5,Hibernating,52,0,GrabBike|GrabFood,5000.0
USR009896,286,0,48000.0,3,Member,Jakarta,1,Hibernating,1,1,1,3,3,6,Hibernating,574,3,GrabMart|GrabBike|GrabCar,48000.0
USR002249,14,9,323000.0,3,Silver,Bandung,0,Loyal,3,3,3,3,9,12,Loyal,3554,4,GrabBike|GrabFood|GrabMart,323000.0
USR004640,66,2,278000.0,4,Silver,Jakarta,0,At_Risk,2,1,3,4,6,10,Hibernating,2277,4,GrabExpress|GrabBike|GrabFood|GrabCar,278000.0
USR009485,360,0,7000.0,2,Member,Bekasi,1,Hibernating,1,1,1,2,3,5,Hibernating,78,3,GrabFood|GrabExpress,7000.0
USR004947,82,5,206000.0,1,Silver,Jakarta,0,At_Risk,1,2,2,1,5,6,Hibernating,2002,0,GrabCar,206000.0
USR009920,108,0,4000.0,2,Member,Bandung,1,Hibernating,1,1,1,2,3,5,Hibernating,46,0,GrabExpress|GrabBike,4000.0
USR001963,12,10,399000.0,2,Silver,Medan,0,Loyal,3,3,3,2,9,11,Loyal,4499,2,GrabExpress|GrabFood,399000.0
USR008243,159,0,60000.0,1,Member,Jakarta,0,Hibernating,1,1,1,1,3,4,Hibernating,623,0,GrabBike,60000.0
USR006590,11,3,155000.0,1,Member,Bandung,0,Promising,4,2,2,1,8,9,Promising,1799,0,GrabMart,155000.0
USR008847,285,0,76000.0,1,Member,Jakarta,0,Hibernating,1,1,1,1,3,4,Hibernating,645,3,GrabFood,76000.0
USR000321,10,27,1461000.0,2,Gold,Jakarta,0,Champions,4,4,4,2,12,14,Champions,13602,1,GrabBike|GrabCar,1461000.0
USR002678,24,8,621000.0,2,Gold,Bandung,0,Loyal,2,3,4,2,9,11,At_Risk,6319,2,GrabMart|GrabCar,621000.0
USR004625,48,5,279000.0,3,Silver,Bandung,0,At_Risk,2,2,3,3,7,10,Hibernating,2583,4,GrabBike|GrabMart|GrabCar,279000.0
USR004949,89,2,326000.0,1,Silver,Bandung,0,At_Risk,1,1,3,1,5,6,Hibernating,2808,0,GrabCar,326000.0
