user_id,segment_true,last_tx_date,recency_days,frequency_monthly,monetary_monthly,ovo_points_balance,tier,services_used,n_services,city,churn_label
USR006252,Promising,2024-12-16,16,5,169000.0,1620,Member,GrabExpress,1,Jakarta,0
USR004684,At_Risk,2024-10-18,75,4,186000.0,2099,Member,GrabCar|GrabExpress|GrabFood|GrabBike,4,Jakarta,0
USR001731,Loyal,2024-12-19,13,9,784000.0,8384,Gold,GrabExpress|GrabCar|GrabFood,3,Jakarta,0
USR004742,At_Risk,2024-10-08,85,4,318000.0,3439,Silver,GrabBike,1,Surabaya,0
USR004521,At_Risk,2024-11-02,60,4,178000.0,1690,Member,GrabFood|GrabMart|GrabExpress|GrabBike,4,Surabaya,0
USR006340,Promising,2024-12-24,8,4,249000.0,2741,Silver,GrabCar,1,Medan,1
USR000576,Champions,2024-12-27,5,26,1750000.0,16605,Platinum,GrabBike|GrabMart|GrabExpress|GrabFood,4,Surabaya,0
USR005202,At_Risk,2024-10-25,68,5,175000.0,1771,Member,GrabFood,1,Jakarta,1
USR006363,Promising,2024-12-20,12,4,136000.0,1386,Member,GrabBike|GrabFood,2,Jakarta,0
USR000439,Champions,2024-12-22,10,16,934000.0,10225,Gold,GrabCar|GrabMart,2,Bekasi,0
USR002750,Loyal,2024-12-06,26,10,424000.0,3665,Silver,GrabMart,1,Bekasi,0
USR007487,Promising,2024-12-29,3,5,240000.0,2438,Silver,GrabBike|GrabExpress,2,Jakarta,1
USR005272,At_Risk,2024-11-16,46,3,316000.0,3497,Silver,GrabExpress|GrabCar,2,Jakarta,1
USR005653,At_Risk,2024-11-09,53,3,311000.0,2558,Silver,GrabExpress|GrabMart,2,Jakarta,1
USR003999,Loyal,2024-12-21,11,12,320000.0,2913,Silver,GrabExpress|GrabCar,2,Bandung,0
USR006033,Promising,2024-12-19,13,5,235000.0,2677,Silver,GrabExpress,1,Bandung,1
USR000582,Champions,2024-12-28,4,17,1964000.0,20183,Platinum,GrabBike|GrabFood|GrabMart,3,Medan,0
USR009930,Hibernating,2024-08-17,137,0,21000.0,223,Member,GrabFood|GrabCar,2,Surabaya,1
USR007051,Promising,2024-12-12,20,6,145000.0,1368,Member,GrabFood,1,Bandung,0
USR008158,Hibernating,2024-09-11,112,0,5000.0,52,Member,GrabBike|GrabFood,2,Jakarta,1
USR009896,Hibernating,2024-03-21,286,0,48000.0,574,Member,GrabMart|GrabBike|GrabCar,3,Jakarta,1
USR002249,Loyal,2024-12-18,14,9,323000.0,3554,Silver,GrabBike|GrabFood|GrabMart,3,Bandung,0
USR004640,At_Risk,2024-10-27,66,2,278000.0,2277,Silver,GrabExpress|GrabBike|GrabFood|GrabCar,4,Jakarta,0
USR009485,Hibernating,2024-01-07,360,0,7000.0,78,Member,GrabFood|GrabExpress,2,Bekasi,1
USR004947,At_Risk,2024-10-11,82,5,206000.0,2002,Silver,GrabCar,1,Jakarta,0
USR009920,Hibernating,2024-09-15,108,0,4000.0,46,Member,GrabExpress|GrabBike,2,Bandung,1
USR001963,Loyal,2024-12-20,12,10,399000.0,4499,Silver,GrabExpress|GrabFood,2,Medan,0
USR008243,Hibernating,2024-07-26,159,0,60000.0,623,Member,GrabBike,1,Jakarta,0
USR006590,Promising,2024-12-21,11,3,155000.0,1799,Member,GrabMart,1,Bandung,0
USR008847,Hibernating,2024-03-22,285,0,76000.0,645,Member,GrabFood,1,Jakarta,0
USR000321,Champions,2024-12-22,10,27,1461000.0,13602,Gold,GrabBike|GrabCar,2,Jakarta,0
USR002678,Loyal,2024-12-08,24,8,621000.0,6319,Gold,GrabMart|GrabCar,2,Bandung,0
USR004625,At_Risk,2024-11-14,48,5,279000.0,2583,Silver,GrabBike|GrabMart|GrabCar,3,Bandung,0
USR004949,At_Risk,2024-10-04,89,2,326000.0,2808,Silver,GrabCar,1,Bandung,0
USR008328,Hibernating,2024-02-14,322,0,21000.0,185,Member,GrabCar|GrabExpress|GrabFood|GrabMart,4,Bekasi,1
USR003337,Loyal,2024-12-24,8,8,520000.0,5219,Silver,GrabBike|GrabCar,2,Bekasi,0
USR005589,At_Risk,2024-10-30,63,3,118000.0,1335,Member,GrabExpress|GrabFood,2,Medan,0
USR000251,Champions,2024-12-28,4,21,2327000.0,21945,Platinum,GrabExpress|GrabFood,2,Bekasi,0
USR003973,Loyal,2024-12-04,28,12,423000.0,4931,Silver,GrabFood,1,Bekasi,0
USR006630,Promising,2024-12-24,8,3,128000.0,1369,Member,GrabFood|GrabExpress,2,Jakarta,0
USR005547,At_Risk,2024-10-28,65,5,307000.0,3230,Silver,GrabFood,1,Jakarta,1
